rcjs.returnHomePage,Return to Home page
rcsite.common.homepage,Go to Home page
rcsite.home.aboutus,About Us
rcsite.home.accessyraccount,Access your account
rcsite.home.apprentcars,Rentcars.com Application
rcsite.home.apprentcars_android,Free Rentcars.com App for Android
rcsite.home.banner_discountedoff,Up to <strong> 60% cheaper! </strong>
rcsite.home.banner_discountedoffdetail,"Our discount is based on the fee of the rental/discount shop, i.e. it is compared with the price practiced in the physical stores."
rcsite.home.banner_discountedoffintdetail,Exclusive discount for international reservations. Refer to Payment terms when issuing your online reservation.
